Gene,Score
199675_at,66.17017231
9619_at,56.84916923
2359_at,56.29799173
5169_at,50.41295965
51108_at,48.56552173
6689_at,48.4584212
3507_at,47.27314578
6498_at,47.07763025
79087_at,46.48526399
2040_at,44.62923976
26509_at,44.33827407
4481_at,44.25425256
3067_at,43.95901165
326624_at,42.31756295
1628_at,41.7566008
2206_at,41.40474263
23136_at,41.22603147
729230_at,40.94696319
973_at,39.73061886
114793_at,39.53701185
64231_at,38.82666803
6507_at,38.55404806
740_at,38.44739183
759_at,38.17620768
4317_at,38.01872529
3399_at,37.94227549
3600_at,37.69345377
643_at,37.31463213
140739_at,37.31459824
5252_at,37.13553117
65057_at,37.03608261
6279_at,36.8438879
390617_at,36.60508361
23492_at,36.3143463
6772_at,36.29930563
974_at,36.23034181
100190952_at,35.90157146
9214_at,35.83580533
1088_at,35.75866175
29802_at,35.59794761
7295_at,35.40996952
23328_at,35.26081035
3240_at,35.20592296
167555_at,35.05771665
56670_at,35.01947551
7378_at,34.92573673
57552_at,34.78951082
1359_at,34.47936568
1462_at,34.44465014
28394_at,34.33308739
9332_at,34.32872912
8754_at,34.27552371
107984945_at,33.74994975
5027_at,33.62256458
105374412_at,33.37948966
2310_at,33.33528125
84824_at,33.28741488
10797_at,33.20996546
79703_at,33.07870349
28813_at,33.07600297
3934_at,32.73722317
1233_at,32.49651461
154214_at,32.44414696
100132965_at,32.12279427
51312_at,31.84897216
677809_at,31.52176846
4063_at,31.37850949
1647_at,31.3456495
26505_at,31.25836139
6229_at,31.20919059
58484_at,31.09238835
105369319_at,31.01339711
2309_at,30.97395712
27334_at,30.8904142
6272_at,30.8716516
306_at,30.86004399
2729_at,30.80292792
11138_at,30.73652574
388512_at,30.54658237
28614_at,30.54586199
10424_at,30.3037053
84868_at,30.11131246
6478_at,30.01216351
3992_at,29.80038648
51573_at,29.7791889
383_at,29.76680186
93978_at,29.62897194
1475_at,29.58087145
391012_at,29.48384997
10562_at,29.46127549
56833_at,29.41194325
2992_at,29.21728369
55331_at,28.8341883
51164_at,28.69861205
28817_at,28.63961069
389386_at,28.63094257
7027_at,28.54887363
28474_at,28.53293469
51056_at,28.38355091
29760_at,28.11709017
820_at,28.0606642
1879_at,28.04193651
28442_at,27.86034828
4057_at,27.78680756
654321_at,27.66736692
54509_at,27.48211441
286460_at,27.40689468
84953_at,27.34435911
10321_at,27.33466636
933_at,27.26759945
677771_at,27.18166925
53335_at,27.16196723
6546_at,27.10737534
391696_at,27.09119802
717_at,27.06767864
4860_at,26.88419394
10745_at,26.82161546
131583_at,26.66827245
4973_at,26.65378162
5208_at,26.65334434
28420_at,26.57460737
101927204_at,26.52354666
54733_at,26.51046947
55432_at,26.44847181
57690_at,26.4195407
671_at,26.41302544
283897_at,26.3770914
8819_at,26.30933354
713_at,26.30261974
7067_at,26.20219938
80199_at,26.19408584
8451_at,26.05171232
10158_at,26.02777989
4775_at,25.95219051
128869_at,25.82996078
677767_at,25.73099892
199786_at,25.71236234
53831_at,25.69310678
8175_at,25.63524794
441168_at,25.58736835
3707_at,25.56446714
54386_at,25.56342896
28809_at,25.55067854
55803_at,25.49936278
137994_at,25.49713578
